route_pattern,entity_type,example_url,visibility,expected_status,rendering,index_policy,canonical_policy,sitemap_policy,cache_policy,owner,test_case,slug_namespace,slug_policy_version,migration_decision
/,homepage,https://laptopplus.vn/,public,200,SSR/ISR,index,site-origin,static.xml,public-cache,storefront,seo-homepage,root,vn-v1,KEEP
/san-pham,product_directory,https://laptopplus.vn/san-pham,public,200,SSR/ISR,index,self,static.xml,public-cache,storefront,seo-product-directory,root,vn-v1,KEEP
/danh-muc,category_directory,https://laptopplus.vn/danh-muc,public,200,SSR/ISR,index,self,static.xml,public-cache,storefront,seo-category-directory,root,vn-v1,KEEP
/{category},category,https://laptopplus.vn/linh-kien,public,200,SSR/ISR,index,self,categories.xml,public-cache,storefront,seo-category,root,vn-v1,KEEP
/{category}/{product},product,https://laptopplus.vn/linh-kien/card-man-hinh,public,200,SSR,index,self,products-N.xml,public-cache,storefront,seo-product,product,vn-v1,KEEP
/tin-tuc,post_directory,https://laptopplus.vn/tin-tuc,public,200,SSR,index,self,static.xml,public-cache,storefront,seo-news-directory,post,vn-v1,KEEP
/tin-tuc/{slug},post,https://laptopplus.vn/tin-tuc/rtx-5080,public,200,SSR,index,self,posts-N.xml,public-cache,storefront,seo-post,post,vn-v1,KEEP
/tin-tuc/chuyen-muc/{slug},post_category,https://laptopplus.vn/tin-tuc/chuyen-muc/tin-cong-nghe,public,200,SSR,index,self,post-categories.xml,public-cache,storefront,seo-post-category,post-category,vn-v1,KEEP
/{page},static_page,https://laptopplus.vn/gioi-thieu,public,200,SSR,index,self,static.xml,public-cache,storefront,seo-static-page,root,vn-v1,KEEP
/cau-hinh,configurator,https://laptopplus.vn/cau-hinh,private,200,SSR,noindex,noindex,none,no-store,storefront,seo-configurator,system,vn-v1,KEEP
/gio-hang,cart,https://laptopplus.vn/gio-hang,private,200,SSR,noindex,noindex,none,no-store,storefront,seo-cart,system,vn-v1,KEEP
/thanh-toan,checkout,https://laptopplus.vn/thanh-toan,private,200,SSR,noindex,noindex,none,no-store,storefront,seo-checkout,system,vn-v1,KEEP
/don-hang/**,order,https://laptopplus.vn/don-hang/123,private,200,SSR,noindex,noindex,none,no-store,storefront,seo-order,system,vn-v1,KEEP
/tai-khoan/**,account,https://laptopplus.vn/tai-khoan,private,200,SSR,noindex,noindex,none,no-store,storefront,seo-account,system,vn-v1,KEEP
/dang-nhap,auth,https://laptopplus.vn/dang-nhap,private,200,SSR,noindex,noindex,none,no-store,storefront,seo-auth,system,vn-v1,KEEP
/dang-ky,auth,https://laptopplus.vn/dang-ky,private,200,SSR,noindex,noindex,none,no-store,storefront,seo-auth,system,vn-v1,KEEP
/yeu-thich,wishlist,https://laptopplus.vn/yeu-thich,private,200,SSR,noindex,noindex,none,no-store,storefront,seo-wishlist,system,vn-v1,KEEP
/tim-kiem,search,https://laptopplus.vn/tim-kiem?search=rtx,private,301,SSR,noindex,noindex,none,no-store,storefront,seo-search,system,vn-v1,REVIEW
/search,legacy_search,https://laptopplus.vn/search?q=rtx,legacy,301,SSR,noindex,current-listing,none,no-store,storefront,seo-legacy-search,system,vn-v1,REVIEW
/products/**,legacy_product,https://laptopplus.vn/products/legacy-slug,legacy,301,SSR,noindex,current-entity,none,no-store,storefront,seo-legacy-product,product,vn-v1,REVIEW
/categories/**,legacy_category,https://laptopplus.vn/categories/legacy-slug,legacy,301,SSR,noindex,current-entity,none,no-store,storefront,seo-legacy-category,root,vn-v1,REVIEW
/api/**,api,https://laptopplus.vn/api/v1/products,private,200,API,noindex,noindex,none,no-store,backend,seo-api,system,vn-v1,KEEP
/admin/**,admin,https://laptopplus.vn/admin,private,200,Inertia,noindex,noindex,none,no-store,backend,seo-admin,system,vn-v1,KEEP
